"Date","Attendance","Opponent","Vs","STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES","Year"
2013-02-07,18624,"Los Angeles",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,9.17,",,X",0,",,X,2400",0,",,X",NA,NA,NA,"",30,",,X",18,",,X",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",2013
2013-02-10,18624,"Denver",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,8.5,",,X",0,",,X,2400",0,",,X",NA,NA,NA,"",36,",,X",15,",,X",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",2013
2013-02-13,18624,"Chicago",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,7.16,",,X",0,",,X,2400",0,",,X",NA,NA,NA,"",42,",,X",30,",,X",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",2013
2013-03-01,18624,"Golden State",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,9.4,",,X",0,",,X,2400",0,",,X",NA,NA,NA,"",41,",,X",34,",,X",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",2013
2013-03-08,18624,"Atlanta",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,18.34,",,X",0.94,",,X,2400",10.5,",,X",NA,NA,NA,"",42,",,X",28,",,X",NA,"",1,",,X",NA,"",NA,"",NA,"",NA,"",NA,"",1,",,X",NA,"",NA,"",NA,"",1,",,X",NA,"",1,",,X",NA,"",NA,"",2013
2013-03-13,18624,"Toronto",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,12.53,",,X",0,"T,,X,2400",0,",,X",NA,NA,NA,"",51,",,X",39,",,X",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",1,",,X",NA,"",1,",,X",NA,"",NA,"",NA,"",NA,"",2013
2013-03-16,18624,"Charlotte",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,8.28,",,X",0,",,X,2400",0,",,X",NA,NA,NA,"",40,",,X",30,",,X",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",2013
2013-03-18,18624,"Miami",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,10.29,",,X",0.12,",,X,2400",0.9,",,X",NA,NA,NA,"",33,",,X",21,",,X",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",1,",,X",NA,"",NA,"",NA,"",NA,"",1,",,X",NA,"",1,",,X",2013
2013-03-26,18624,"New York",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,10.51,",,X",0.05,",,X,2400",0,"T,,X",NA,NA,NA,"",50,",,X",34,",,X",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",1,",,X",NA,"",NA,"",1,",,X",NA,"",1,",,X",NA,"",NA,"",2013
2013-03-29,18624,"Atlanta",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,8.72,",,X",0.01,",,X,2400",0,",,X",NA,NA,NA,"",56,",,X",40,",,X",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",1,",,X",NA,"",NA,"",NA,"",NA,"",2013
2013-04-03,18624,"Detroit",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,19.01,",,W",0,",,W,2400",0,",,W",NA,NA,37,"H,,S",47,",,W",31,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",2013
2013-04-05,18624,"Cleveland",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,12.75,",,W",0,",,W,2400",0,",,W",NA,NA,46,"H,,S",57,",,W",38,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",2013
2013-04-07,18624,"Washington",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,15.88,",,W",0,",,W,2400",0,",,W",NA,NA,42,"H,,S",54,",,W",32,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",2013
2013-04-10,18624,"Brooklyn",TRUE,"USW00014739","BOSTON, MA US",42.3606,-71.0097,3.7,6.04,",,W",0.19,",,W,2400",0,",,W",NA,NA,47,"H,,S",54,",,W",45,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",2013
